venue,role,side,qty,price,mid,fee_bps,fee,spread_capture,symbol
VENUE_A,maker,BUY,20,24.9,25.59,-0.05,-0.00249,13.800000000000026,
VENUE_A,maker,SELL,40,26.3,25.61,-0.05,-0.005260000000000001,27.60000000000005,
VENUE_A,maker,BUY,40,24.9,25.61,-0.05,-0.00498,28.400000000000034,
VENUE_A,maker,BUY,20,24.9,25.6,-0.05,-0.00249,14.000000000000057,
VENUE_A,maker,BUY,20,24.9,25.59,-0.05,-0.00249,13.800000000000026,
VENUE_A,maker,SELL,40,26.3,62.47,-0.05,-0.005260000000000001,-1446.8000000000002,
VENUE_A,maker,BUY,40,24.9,62.46,-0.05,-0.00498,1502.4,
VENUE_A,maker,SELL,20,63.15,62.45,-0.05,-0.006315,13.999999999999915,
VENUE_A,maker,BUY,40,61.75,62.45,-0.05,-0.012350000000000002,28.000000000000114,
VENUE_A,maker,BUY,40,61.75,44.02,-0.05,-0.012350000000000002,-709.1999999999998,
VENUE_A,maker,SELL,20,63.15,44.02,-0.05,-0.006315,382.5999999999999,
VENUE_A,maker,SELL,20,63.15,44.02,-0.05,-0.006315,382.5999999999999,
VENUE_A,maker,SELL,40,44.7,53.26,-0.05,-0.00894,-342.3999999999998,
VENUE_A,maker,BUY,20,43.35,53.26,-0.05,-0.004335,198.19999999999993,
VENUE_A,maker,SELL,20,72.4,71.7,-0.05,-0.007240000000000001,14.000000000000057,
VENUE_A,maker,SELL,20,72.4,85.52,-0.05,-0.007240000000000001,-262.3999999999998,
VENUE_A,maker,BUY,20,84.85,85.53,-0.05,-0.008485000000000001,13.600000000000136,
VENUE_A,maker,BUY,20,84.85,78.59,-0.05,-0.008485000000000001,-125.19999999999982,
VENUE_A,maker,SELL,20,86.2,78.6,-0.05,-0.008620000000000001,152.00000000000017,
VENUE_A,maker,SELL,20,86.2,78.6,-0.05,-0.008620000000000001,152.00000000000017,
VENUE_A,maker,BUY,40,64.1,54.39,-0.05,-0.012820000000000002,-388.39999999999975,
VENUE_A,maker,SELL,20,65.45,45.16,-0.05,-0.0065450000000000005,405.8000000000001,
VENUE_A,maker,BUY,20,44.45,45.15,-0.05,-0.004445,13.999999999999915,
VENUE_A,maker,SELL,40,45.85,45.16,-0.05,-0.009170000000000001,27.600000000000193,
VENUE_A,maker,SELL,40,45.85,45.16,-0.05,-0.009170000000000001,27.600000000000193,
VENUE_A,maker,SELL,40,66.05,75.44,-0.05,-0.013210000000000001,-375.6,
